image_path,label
E:\E-Waste\train\Battery\battery_0.jpg,Battery
E:\E-Waste\train\Battery\battery_1.jpg,Battery
E:\E-Waste\train\Battery\battery_10.jpg,Battery
E:\E-Waste\train\Battery\battery_100.jpg,Battery
E:\E-Waste\train\Battery\battery_101.jpg,Battery
E:\E-Waste\train\Battery\battery_102.jpg,Battery
E:\E-Waste\train\Battery\battery_104.jpg,Battery
E:\E-Waste\train\Battery\battery_107.jpg,Battery
E:\E-Waste\train\Battery\battery_109.jpg,Battery
E:\E-Waste\train\Battery\battery_11.jpg,Battery
E:\E-Waste\train\Battery\battery_110.jpg,Battery
E:\E-Waste\train\Battery\battery_111.jpg,Battery
E:\E-Waste\train\Battery\battery_112.jpg,Battery
E:\E-Waste\train\Battery\battery_113.jpg,Battery
E:\E-Waste\train\Battery\battery_114.jpg,Battery
E:\E-Waste\train\Battery\battery_115.jpg,Battery
E:\E-Waste\train\Battery\battery_116.jpg,Battery
E:\E-Waste\train\Battery\battery_117.jpg,Battery
E:\E-Waste\train\Battery\battery_119.jpg,Battery
E:\E-Waste\train\Battery\battery_12.jpg,Battery
E:\E-Waste\train\Battery\battery_120.jpg,Battery
E:\E-Waste\train\Battery\battery_121.jpg,Battery
E:\E-Waste\train\Battery\battery_123.jpg,Battery
E:\E-Waste\train\Battery\battery_124.jpg,Battery
E:\E-Waste\train\Battery\battery_125.jpg,Battery
E:\E-Waste\train\Battery\battery_126.jpg,Battery
E:\E-Waste\train\Battery\battery_127.jpg,Battery
E:\E-Waste\train\Battery\battery_13.jpg,Battery
E:\E-Waste\train\Battery\battery_131.jpg,Battery
E:\E-Waste\train\Battery\battery_132.jpg,Battery
E:\E-Waste\train\Battery\battery_133.jpg,Battery
E:\E-Waste\train\Battery\battery_134.jpg,Battery
E:\E-Waste\train\Battery\battery_135.jpg,Battery
E:\E-Waste\train\Battery\battery_136.jpg,Battery
E:\E-Waste\train\Battery\battery_137.jpg,Battery
E:\E-Waste\train\Battery\battery_138.jpg,Battery
E:\E-Waste\train\Battery\battery_139.jpg,Battery
E:\E-Waste\train\Battery\battery_14.jpg,Battery
E:\E-Waste\train\Battery\battery_140.jpg,Battery
E:\E-Waste\train\Battery\battery_141.jpg,Battery
E:\E-Waste\train\Battery\battery_142.jpg,Battery
E:\E-Waste\train\Battery\battery_143.jpg,Battery
E:\E-Waste\train\Battery\battery_144.jpg,Battery
E:\E-Waste\train\Battery\battery_145.jpg,Battery
E:\E-Waste\train\Battery\battery_149.jpg,Battery
E:\E-Waste\train\Battery\battery_15.jpg,Battery
E:\E-Waste\train\Battery\battery_151.jpg,Battery
E:\E-Waste\train\Battery\battery_153.jpg,Battery
E:\E-Waste\train\Battery\battery_154.jpg,Battery
E:\E-Waste\train\Battery\battery_155.jpg,Battery
E:\E-Waste\train\Battery\battery_156.jpg,Battery
E:\E-Waste\train\Battery\battery_157.jpg,Battery
E:\E-Waste\train\Battery\battery_158.jpg,Battery
E:\E-Waste\train\Battery\battery_159.jpg,Battery
E:\E-Waste\train\Battery\battery_16.jpg,Battery
E:\E-Waste\train\Battery\battery_160.jpg,Battery
E:\E-Waste\train\Battery\battery_161.jpg,Battery
E:\E-Waste\train\Battery\battery_162.jpg,Battery
E:\E-Waste\train\Battery\battery_163.jpg,Battery
E:\E-Waste\train\Battery\battery_164.jpg,Battery
E:\E-Waste\train\Battery\battery_165.jpg,Battery
E:\E-Waste\train\Battery\battery_166.jpg,Battery
E:\E-Waste\train\Battery\battery_167.jpg,Battery
E:\E-Waste\train\Battery\battery_168.jpg,Battery
E:\E-Waste\train\Battery\battery_17.jpg,Battery
E:\E-Waste\train\Battery\battery_170.jpg,Battery
E:\E-Waste\train\Battery\battery_171.jpg,Battery
E:\E-Waste\train\Battery\battery_172.jpg,Battery
E:\E-Waste\train\Battery\battery_173.jpg,Battery
E:\E-Waste\train\Battery\battery_175.jpg,Battery
E:\E-Waste\train\Battery\battery_176.jpg,Battery
E:\E-Waste\train\Battery\battery_178.jpg,Battery
E:\E-Waste\train\Battery\battery_179.jpg,Battery
E:\E-Waste\train\Battery\battery_18.jpg,Battery
E:\E-Waste\train\Battery\battery_180.jpg,Battery
E:\E-Waste\train\Battery\battery_181.jpg,Battery
E:\E-Waste\train\Battery\battery_182.jpg,Battery
E:\E-Waste\train\Battery\battery_183.jpg,Battery
E:\E-Waste\train\Battery\battery_184.jpg,Battery
E:\E-Waste\train\Battery\battery_185.jpg,Battery
E:\E-Waste\train\Battery\battery_186.jpg,Battery
E:\E-Waste\train\Battery\battery_187.jpg,Battery
E:\E-Waste\train\Battery\battery_188.jpg,Battery
E:\E-Waste\train\Battery\battery_19.jpg,Battery
E:\E-Waste\train\Battery\battery_191.jpg,Battery
E:\E-Waste\train\Battery\battery_193.jpg,Battery
E:\E-Waste\train\Battery\battery_194.jpg,Battery
E:\E-Waste\train\Battery\battery_195.jpg,Battery
E:\E-Waste\train\Battery\battery_196.jpg,Battery
E:\E-Waste\train\Battery\battery_197.jpg,Battery
E:\E-Waste\train\Battery\battery_199.jpg,Battery
E:\E-Waste\train\Battery\battery_2.jpg,Battery
E:\E-Waste\train\Battery\battery_20.jpg,Battery
E:\E-Waste\train\Battery\battery_200.jpg,Battery
E:\E-Waste\train\Battery\battery_201.jpg,Battery
E:\E-Waste\train\Battery\battery_202.jpg,Battery
E:\E-Waste\train\Battery\battery_203.jpg,Battery
E:\E-Waste\train\Battery\battery_204.jpg,Battery
E:\E-Waste\train\Battery\battery_205.jpg,Battery
E:\E-Waste\train\Battery\battery_206.jpg,Battery
E:\E-Waste\train\Battery\battery_207.jpg,Battery
